--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.145    0.145 rings.py:1(<module>)
      325    0.000    0.000    0.144    0.000 dataclasses.py:1264(wrap)
      325    0.009    0.000    0.144    0.000 dataclasses.py:921(_process_class)
        2    0.000    0.000    0.140    0.070 utilities.py:1(<module>)
     1311    0.126    0.000    0.139    0.000 backends.py:210(__new__)
     2271    0.003    0.000    0.139    0.000 inspect.py:3346(signature)
     1211    0.003    0.000    0.139    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1421    0.009    0.000    0.138    0.000 eval_frame.py:829(_fn)
     2414    0.006    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
     4420    0.005    0.000    0.137    0.000 _ops.py:981(__call__)
     2271    0.005    0.000    0.136    0.000 inspect.py:3081(from_callable)
     1578    0.003    0.000    0.134    0.000 loss.py:609(forward)
2333/2272    0.027    0.000    0.133    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.133    0.067 domainmatrix.py:1(<module>)
     2417    0.001    0.000    0.133    0.000 <frozen importlib._bootstrap>:632(cached)
     1210    0.002    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
2930/2297    0.026    0.000    0.131    0.000 inspect.py:2501(_signature_from_callable)
     1578    0.010    0.000    0.131    0.000 functional.py:3835(mse_loss)
     11/9    0.000    0.000    0.131    0.015 fake_impls.py:109(<genexpr>)
        1    0.000    0.000    0.127    0.127 ddm.py:1(<module>)
     2421    0.003    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2580    0.002    0.000    0.123    0.000 {built-in method builtins.max}
     1206    0.013    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       99    0.000    0.000    0.122    0.001 inspect.py:1070(findsource)
     4842    0.121    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       12    0.000    0.000    0.121    0.010 library.py:187(_register_fake)
     4420    0.004    0.000    0.120    0.000 _ops.py:1147(__call__)
     1420    0.036    0.000    0.119    0.000 optimizer.py:931(zero_grad)
     2840    0.014    0.000    0.117    0.000 connection.py:640(SocketClient)
       12    0.000    0.000    0.117    0.010 fake_impl.py:19(register)
        1    0.000    0.000    0.117    0.117 maxcut.py:1(<module>)
       12    0.000    0.000    0.115    0.010 utils.py:45(get_source)
       12    0.000    0.000    0.115    0.010 inspect.py:1688(getframeinfo)
     4420    0.115    0.000    0.115    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
       28    0.004    0.000    0.114    0.004 library.py:135(define)
      111    0.028    0.000    0.113    0.001 inspect.py:988(getmodule)
     1206    0.109    0.000    0.109    0.000 {built-in method marshal.loads}
     4276    0.062    0.000    0.105    0.000 reduction.py:38(__init__)
        1    0.000    0.000    0.105    0.105 _triton.py:6(has_triton_package)
     1578    0.099    0.000    0.104    0.000 transcoders.py:14(forward)
     4420    0.006    0.000    0.101    0.000 _ops.py:1035(_must_dispatch_in_python)
        1    0.000    0.000    0.098    0.098 _dtensor_spec.py:1(<module>)
        6    0.000    0.000    0.097    0.016 api.py:1(<module>)
        1    0.000    0.000    0.096    0.096 partfrac.py:1(<module>)
        1    0.000    0.000    0.096    0.096 decorator.py:65(xthreaded)
        1    0.000    0.000    0.096    0.096 decorator.py:16(threaded_factory)
        1    0.000    0.000    0.096    0.096 placement_types.py:1(<module>)
        1    0.000    0.000    0.096    0.096 pycode.py:1(<module>)
        1    0.000    0.000    0.096    0.096 _diagnostic.py:1(<module>)
     4420    0.007    0.000    0.095    0.000 _pytree.py:1410(tree_any)
        1    0.000    0.000    0.093    0.093 codeprinter.py:1(<module>)
     1420    0.003    0.000    0.091    0.000 connection.py:253(poll)
8879/8667    0.016    0.000    0.091    0.000 typing.py:392(inner)
     1578    0.026    0.000    0.088    0.000 functional.py:1698(norm)
     1578    0.088    0.000    0.088    0.000 {built-in method torch._C._nn.mse_loss}
        1    0.000    0.000    0.088    0.088 _infra.py:1(<module>)
      325    0.000    0.000    0.087    0.000 dataclasses.py:1247(dataclass)
     1259    0.005    0.000    0.087    0.000 dataclasses.py:449(_create_fn)
     1420    0.003    0.000    0.087    0.000 connection.py:439(_poll)
     2840    0.006    0.000    0.085    0.000 connection.py:202(send)
        1    0.000    0.000    0.083    0.083 formatter.py:1(<module>)
     2998    0.082    0.000    0.082    0.000 {built-in method torch.sum}
     2840    0.010    0.000    0.081    0.000 reductions.py:110(rebuild_tensor)
     2243    0.029    0.000    0.079    0.000 inspect.py:2397(_signature_from_function)
     4420    0.012    0.000    0.079    0.000 profiler.py:759(__init__)
        1    0.000    0.000    0.079    0.079 _collective_utils.py:1(<module>)
        1    0.000    0.000    0.078    0.078 library.py:1016(register)
30940/8840    0.026    0.000    0.076    0.000 _pytree.py:1071(tree_iter)
        4    0.000    0.000    0.075    0.019 compiler.py:1(<module>)
     2840    0.006    0.000    0.071    0.000 _utils.py:185(_rebuild_tensor)
  549/337    0.000    0.000    0.069    0.000 typing.py:515(__getitem__)
      774    0.001    0.000    0.066    0.000 <frozen posixpath>:423(realpath)
      212    0.000    0.000    0.065    0.000 typing.py:747(Optional)
      774    0.009    0.000    0.064    0.000 <frozen posixpath>:432(_joinrealpath)
        1    0.000    0.000    0.062    0.062 autograd_cache.py:1(<module>)
      332    0.001    0.000    0.062    0.000 typing.py:694(Union)
        1    0.000    0.000    0.062    0.062 polytools.py:1(<module>)
        1    0.000    0.000    0.062    0.062 ctx_fp.py:1(<module>)
     1578    0.061    0.000    0.061    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
     2840    0.012    0.000    0.061    0.000 connection.py:875(_create_response)
        1    0.000    0.000    0.058    0.058 ctx_base.py:1(<module>)
        2    0.000    0.000    0.055    0.028 backends.py:45(_get_backends)
        2    0.000    0.000    0.055    0.028 __init__.py:901(entry_points)
      228    0.000    0.000    0.055    0.000 __init__.py:910(<genexpr>)
        1    0.000    0.000    0.054    0.054 code_generator.py:1(<module>)
        1    0.000    0.000    0.053    0.053 constructor.py:1(<module>)
     1420    0.018    0.000    0.052    0.000 __init__.py:89(_make_grads)
     1420    0.052    0.000    0.052    0.000 {built-in method torch._foreach_sqrt}
     2840    0.051    0.000    0.051    0.000 {built-in method _new_shared_fd_cpu}
       11    0.000    0.000    0.051    0.005 custom_ops.py:326(inner)
       11    0.000    0.000    0.050    0.005 custom_ops.py:186(__init__)
        1    0.000    0.000    0.050    0.050 tensor.py:1(<module>)
       11    0.000    0.000    0.050    0.005 custom_ops.py:589(_register_to_dispatcher)
        1    0.000    0.000    0.049    0.049 expr.py:1(<module>)
        3    0.000    0.000    0.048    0.016 numbers.py:1(<module>)
        1    0.000    0.000    0.048    0.048 guards.py:1(<module>)
     2840    0.047    0.000    0.047    0.000 {method 'connect' of '_socket.socket' objects}
     5680    0.047    0.000    0.047    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.047    0.047 immutable.py:1(<module>)
      170    0.046    0.000    0.046    0.000 {built-in method posix.listdir}
     2840    0.046    0.000    0.046    0.000 {built-in method torch._foreach_add_}
        1    0.000    0.000    0.045    0.045 _trace_wrapped_higher_order_op.py:1(<module>)
        1    0.000    0.000    0.045    0.045 _trace_wrapped_higher_order_op.py:151(__init__)
      157    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
     1578    0.042    0.000    0.042    0.000 {built-in method torch.clamp}
        3    0.000    0.000    0.042    0.014 dense.py:1(<module>)
     1420    0.011    0.000    0.042    0.000 optimizer.py:412(_cuda_graph_capture_health_check)
        1    0.000    0.000    0.042    0.042 sympify.py:1(<module>)
      226    0.000    0.000    0.041    0.000 __init__.py:469(entry_points)
      477    0.001    0.000    0.041    0.000 basic.py:212(__init_subclass__)
        1    0.000    0.000    0.041    0.041 codecache.py:1(<module>)
        1    0.000    0.000    0.041    0.041 custom_ops.py:673(register_vmap)
      478    0.017    0.000    0.040    0.000 assumptions.py:614(_prepare_class_assumptions)
    12076    0.040    0.000    0.040    0.000 {method 'update' of 'dict' objects}
     1420    0.002    0.000    0.040    0.000 optimizer.py:499(_group_tensors_by_device_and_dtype)
      226    0.001    0.000    0.039    0.000 __init__.py:811(read_text)
        1    0.000    0.000    0.038    0.038 fully_sharded_data_parallel.py:1(<module>)
      324    0.002    0.000    0.038    0.000 dataclasses.py:568(_init_fn)
     1420    0.004    0.000    0.037    0.000 _contextlib.py:113(decorate_context)
      226    0.000    0.000    0.037    0.000 pathlib.py:1022(read_text)
     9602    0.037    0.000    0.037    0.000 {built-in method posix.lstat}
     1420    0.025    0.000    0.036    0.000 adam.py:137(_init_group)
     2847    0.036    0.000    0.036    0.000 {built-in method torch.empty}
        1    0.000    0.000    0.035    0.035 mul.py:1(<module>)
       89    0.000    0.000    0.035    0.000 dispatcher.py:178(add)
        4    0.000    0.000    0.035    0.009 driver.py:1(<module>)
        1    0.000    0.000    0.035    0.035 autotuner.py:1(<module>)
        3    0.000    0.000    0.035    0.012 config.py:1(<module>)
       89    0.000    0.000    0.035    0.000 dispatcher.py:222(reorder)
     5680    0.004    0.000    0.034    0.000 hmac.py:167(new)
     4420    0.034    0.000    0.034    0.000 {built-in method torch._ops.profiler.}
        1    0.000    0.000    0.034    0.034 matrixbase.py:1(<module>)
        1    0.000    0.000    0.034    0.034 jit.py:1(<module>)
224615/224571    0.030    0.000    0.032    0.000 {built-in method builtins.isinstance}
     1436    0.009    0.000    0.032    0.000 queues.py:86(put)
     1578    0.032    0.000    0.032    0.000 {built-in method torch.abs}
     1420    0.031    0.000    0.031    0.000 {built-in method torch._foreach_lerp_}
     5680    0.006    0.000    0.030    0.000 hmac.py:38(__init__)
    30948    0.010    0.000    0.030    0.000 _pytree.py:829(_get_node_type)
     1420    0.030    0.000    0.030    0.000 {built-in method torch.ones_like}
    17686    0.008    0.000    0.030    0.000 _pytree.py:836(_is_leaf)
        1    0.000    0.000    0.029    0.029 slice.py:1(<module>)
        1    0.000    0.000    0.029    0.029 backends.py:110(_set_configs_from_environment)
     1420    0.029    0.000    0.029    0.000 {built-in method torch._foreach_mul_}
     2840    0.028    0.000    0.028    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
     1578    0.011    0.000    0.028    0.000 functional.py:48(broadcast_tensors)
        1    0.000    0.000    0.028    0.028 matexpr.py:1(<module>)
     1426    0.028    0.000    0.028    0.000 {built-in method torch.tensor}
    14200    0.012    0.000    0.028    0.000 optimizer.py:89(_get_value)
        1    0.000    0.000    0.027    0.027 backends.py:1(<module>)
        1    0.000    0.000    0.027    0.027 point.py:1(<module>)
        4    0.000    0.000    0.027    0.007 module.py:1007(apply)
        4    0.000    0.000    0.027    0.007 transcoders.py:60(custom_weights_init)
      242    0.023    0.000    0.026    0.000 {built-in method _io.open}
   106614    0.024    0.000    0.026    0.000 {built-in method builtins.getattr}
     6940    0.012    0.000    0.025    0.000 inspect.py:2743(__init__)
        1    0.000    0.000    0.025    0.025 __init__.py:35(_discover_backends)
        8    0.025    0.003    0.025    0.003 {method 'uniform_' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.025    0.025 _fsdp_param_group.py:1(<module>)
     2840    0.006    0.000    0.025    0.000 connection.py:903(_verify_challenge)
     1578    0.002    0.000    0.025    0.000 inspect.py:3275(bind)
        1    0.000    0.000    0.025    0.025 entity.py:1(<module>)
        4    0.000    0.000    0.024    0.006 __init__.py:9(_load_module)
     1578    0.024    0.000    0.024    0.000 {built-in method torch.tanh}
        1    0.000    0.000    0.024    0.024 power.py:1(<module>)
     1578    0.023    0.000    0.023    0.000 {built-in method torch.mean}
        1    0.000    0.000    0.023    0.023 products.py:1(<module>)
     5680    0.006    0.000    0.023    0.000 hmac.py:66(_init_hmac)
     1578    0.016    0.000    0.023    0.000 inspect.py:3133(_bind)
     2086    0.007    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
     1420    0.023    0.000    0.023    0.000 {built-in method torch._foreach_div_}
2664/2114    0.002    0.000    0.023    0.000 trace_rules.py:2893(load_object)
     1420    0.023    0.000    0.023    0.000 {built-in method torch._foreach_addcmul_}
    26284    0.007    0.000    0.022    0.000 {built-in method builtins.all}
205720/205440    0.022    0.000    0.022    0.000 {built-in method builtins.len}
     1422    0.003    0.000    0.022    0.000 __init__.py:161(is_available)
      324    0.001    0.000    0.022    0.000 dataclasses.py:627(_repr_fn)
      226    0.000    0.000    0.022    0.000 pathlib.py:1005(open)
     1420    0.005    0.000    0.021    0.000 optimizer.py:160(_default_to_fused_or_foreach)
        2    0.000    0.000    0.021    0.011 basic.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _fsdp_collectives.py:1(<module>)
     2840    0.001    0.000    0.021    0.000 connection.py:262(__exit__)
        3    0.000    0.000    0.021    0.007 random.py:1(<module>)
     1578    0.021    0.000    0.021    0.000 {built-in method torch.relu}
       42    0.000    0.000    0.021    0.000 jit.py:759(jit)
       42    0.000    0.000    0.021    0.000 jit.py:788(decorator)
       42    0.001    0.000    0.020    0.000 jit.py:599(__init__)
        1    0.000    0.000    0.020    0.020 eval_frame.py:1(<module>)
    30948    0.017    0.000    0.020    0.000 _pytree.py:818(_is_namedtuple_instance)
        1    0.000    0.000    0.020    0.020 matmul.py:1(<module>)
        2    0.000    0.000    0.020    0.010 source.py:1(<module>)
      327    0.000    0.000    0.020    0.000 dataclasses.py:661(_cmp_fn)
     5680    0.003    0.000    0.020    0.000 reductions.py:525(fd_id)
        1    0.000    0.000    0.020    0.020 summations.py:1(<module>)
2872/2842    0.002    0.000    0.020    0.000 connection.py:174(close)
        1    0.000    0.000    0.020    0.020 output_code.py:1(<module>)
     1436    0.004    0.000    0.019    0.000 selectors.py:351(register)
       87    0.000    0.000    0.019    0.000 inspect.py:1258(getsourcelines)
     2840    0.010    0.000    0.019    0.000 reductions.py:577(rebuild_typed_storage)
       43    0.000    0.000    0.019    0.000 dispatcher.py:147(_)
        1    0.000    0.000    0.019    0.019 bsplines.py:1(<module>)
5777/5713    0.020    0.000    0.019    0.000 {built-in method posix.close}
     1420    0.019    0.000    0.019    0.000 {built-in method torch._foreach_addcdiv_}
        1    0.000    0.000    0.019    0.019 plot.py:1(<module>)
     1251    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:416(__enter__)
       89    0.004    0.000    0.018    0.000 conflict.py:24(ambiguities)
     1420    0.001    0.000    0.018    0.000 _foreach_utils.py:32(_group_tensors_by_device_and_dtype)
        1    0.000    0.000    0.018    0.018 _code_flow.py:1(<module>)
2874/2844    0.003    0.000    0.018    0.000 connection.py:376(_close)
     5680    0.010    0.000    0.018    0.000 connection.py:849(_get_digest_name_and_payload)
     5680    0.018    0.000    0.018    0.000 {built-in method _hashlib.hmac_new}
     1420    0.017    0.000    0.017    0.000 {built-in method torch._C._group_tensors_by_device_and_dtype}
     1207    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
       37    0.000    0.000    0.017    0.000 core.py:59(_)
        1    0.000    0.000    0.017    0.017 reshard.py:1(<module>)
